,Unnamed: 0,Unnamed: 0.1,Kline open time,Coin,Open price,Daily Open price pct_change,High price,Daily High price pct_change,Low price,Daily Low price pct_change,Close price,Daily Close price pct_change,relative_strength
0,0,0,2023-02-24,VIB/USDT,0.1031,,0.1374,,0.1031,,0.1171,,
1,1,1,2023-02-25,VIB/USDT,0.11675,0.1323957322987392,0.1193,-0.1317321688500727,0.10599,0.028031037827352,0.11023,-0.05866780529462,48.20092414668185
2,2,2,2023-02-26,VIB/USDT,0.11076,-0.0513062098501071,0.12048,0.0098910310142497,0.10968,0.0348146051514293,0.11266,0.0220448153860111,1.2833559581450509
3,3,3,2023-02-27,VIB/USDT,0.11325,0.0224810400866739,0.117,-0.0288844621513943,0.10754,-0.0195113056163385,0.10929,-0.0299130126042961,11.226840741591984
4,4,4,2023-02-28,VIB/USDT,0.10923,-0.0354966887417219,0.11,-0.0598290598290598,0.10272,-0.0448205318951087,0.10384,-0.0498673254643607,3.3421422397240073
5,5,5,2023-03-01,VIB/USDT,0.10361,-0.0514510665568067,0.11193,0.0175454545454545,0.10242,-0.0029205607476636,0.10763,0.0364984591679506,1.7329332124072105
6,6,6,2023-03-02,VIB/USDT,0.10784,0.0408261750796257,0.10999,-0.0173322612347002,0.1003,-0.0206990822105057,0.10314,-0.0417169934033262,6.023401073127956
7,7,7,2023-03-03,VIB/USDT,0.10289,-0.0459013353115728,0.10314,-0.0622783889444495,0.0911,-0.0917248255234297,0.09495,-0.0794066317626526,1.6771697280174374
8,8,8,2023-03-04,VIB/USDT,0.09508,-0.0759063077072601,0.113,0.0955982160170643,0.09287,0.0194291986827661,0.10375,0.0926803580832016,-266.6419866041537
9,9,9,2023-03-05,VIB/USDT,0.10367,0.0903449726546066,0.10667,-0.0560176991150442,0.09791,0.0542694088510822,0.0994,-0.0419277108433734,-11.198046196978765
10,10,10,2023-03-06,VIB/USDT,0.0994,-0.0411883862255232,0.11369,0.065810443423643,0.09698,-0.0094985190481053,0.10093,0.0153923541247484,-17.058013694816236
11,11,11,2023-03-07,VIB/USDT,0.10103,0.0163983903420521,0.10305,-0.0935878265458702,0.09704,0.0006186842647968,0.09863,-0.0227880709402557,2.4084166655873043
12,12,12,2023-03-08,VIB/USDT,0.09898,-0.0202910026724735,0.10112,-0.0187287724405628,0.09411,-0.0301937345424567,0.09684,-0.0181486363175504,0.8179621193688209
13,13,13,2023-03-09,VIB/USDT,0.0968,-0.0220246514447363,0.10342,0.0227452531645568,0.08805,-0.0643927319094676,0.09068,-0.0636100784799669,1.0278917391359688
14,14,14,2023-03-10,VIB/USDT,0.09089,-0.0610537190082643,0.09206,-0.1098433571842969,0.08388,-0.0473594548551959,0.08983,-0.0093736215262462,0.9023199721749201
15,15,15,2023-03-11,VIB/USDT,0.08979,-0.0121025415337221,0.09747,0.0587660221594612,0.08284,-0.0123986647591797,0.09188,0.0228208838917958,1.507528707151751
16,16,16,2023-03-12,VIB/USDT,0.09188,0.0232765341352043,0.0948,-0.0273930440135427,0.08878,0.0717044905842587,0.09467,0.0303656943839791,0.40298462778885924
17,17,17,2023-03-13,VIB/USDT,0.09456,0.0291684806269045,0.10124,0.0679324894514767,0.09349,0.0530524892993917,0.09835,0.0388718707087778,0.40402614660327135
